31,32,30,31,32,25,18,39,42,31,40,51,64,52,55,81,69,66,78,78,113,104,70,68,69,79,52,34,30,43,40,46,56,63,56,65,66,112,123,98,
44,46,41,19,15,36,28,28,37,51,52,54,62,49,82,111,89,80,75,66,42,34,46,57,53,88,106,68,31,29,23,17,13,7,3,10,8,5,1,2,
30,33,21,17,17,22,25,26,22,32,37,37,47,52,53,82,45,47,34,39,41,19,37,47,46,39,49,45,28,12,3,8,9,7,7,4,5,4,1,0,
2,3,3,5,7,5,5,7,6,1,2,4,6,5,6,6,9,14,16,10,10,6,3,1,2,2,0,0,0,1,4,1,1,2,2,1,2,2,1,1,
63,104,108,62,77,140,137,139,153,146,186,178,125,97,117,88,57,41,41,29,34,33,26,19,61,85,103,54,16,19,22,26,24,18,20,25,43,45,41,52,
5,5,6,1,2,8,2,2,3,1,1,5,11,10,9,10,12,16,14,9,24,33,17,10,9,5,7,5,7,4,6,10,7,12,15,17,19,8,14,5,
4,5,8,2,1,1,4,4,7,10,11,1,1,4,13,41,27,7,2,5,5,8,4,8,10,4,1,5,5,3,2,4,16,5,7,7,4,6,17,13,
257,434,327,204,287,584,621,705,704,751,802,661,426,389,398,362,251,152,113,107,107,65,95,109,266,403,345,217,49,44,60,78,113,101,102,126,147,183,193,206,
84,148,150,98,129,176,190,226,215,257,228,204,140,133,127,91,66,63,39,47,44,34,28,30,78,101,137,79,25,13,18,30,50,24,37,40,47,65,76,71,
52,51,38,30,27,30,30,28,35,37,45,37,45,66,93,85,96,76,81,46,32,23,48,52,42,73,70,74,36,31,20,14,10,8,8,6,11,4,0,1,
4,4,7,6,9,6,8,12,11,2,3,2,7,16,5,3,3,6,6,1,13,26,33,20,7,8,6,6,8,8,7,10,13,10,21,15,15,21,20,13,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,12,10,4,2,2,0,0,1,2,2,2,7,12,27,33,18,18,15,4,5,3,2,1,0,4,1,3,7,12,24,17,2,0,0,1,0,1,1,0,
27,32,39,41,29,29,20,27,36,36,20,23,37,26,46,71,64,30,31,38,41,24,18,18,11,5,10,12,16,7,6,9,13,7,6,10,11,19,27,25,
75,81,90,50,46,69,61,77,57,0,0,0,0,0,0,0,0,0,0,86,77,57,84,83,70,96,120,79,73,43,43,46,42,29,16,31,25,37,46,39,
110,184,165,104,123,177,207,228,251,253,272,216,149,141,154,122,94,72,61,53,56,45,31,48,103,139,129,61,23,20,29,47,45,39,40,58,68,82,73,101,
2,0,0,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,
21,29,15,9,7,10,16,9,16,11,17,16,18,21,23,24,23,24,21,29,20,9,18,21,17,31,33,15,9,8,19,9,3,1,5,1,2,0,1,2,
