35,32,31,34,25,32,34,44,39,37,44,54,70,60,68,89,73,85,96,64,110,118,77,73,75,85,58,24,29,35,35,47,58,60,55,71,74,89,130,101,
57,57,38,22,18,37,31,34,21,49,48,48,59,72,89,92,86,86,87,53,39,27,55,53,43,83,103,55,29,28,32,19,4,5,9,10,8,3,2,2,
25,32,33,15,17,25,26,29,23,30,36,34,49,37,53,70,51,50,46,44,33,14,35,39,38,46,70,42,29,12,7,7,11,14,5,10,5,4,1,0,
3,4,6,1,10,4,4,5,12,0,4,7,11,9,9,9,12,18,18,12,14,8,3,0,1,3,0,1,0,5,2,4,2,2,1,0,1,2,2,1,
70,112,100,55,90,145,138,175,170,200,212,211,153,122,110,114,77,54,40,35,43,30,24,35,68,79,86,56,14,9,21,21,32,22,28,34,26,44,43,43,
3,6,3,2,3,4,2,0,4,2,3,2,15,18,10,22,15,14,22,15,29,24,17,11,9,12,8,6,8,8,9,7,11,14,20,17,18,16,14,12,
6,10,5,2,2,0,1,3,11,14,6,1,2,1,18,32,28,7,5,7,7,12,9,9,8,3,5,9,8,5,0,7,7,5,3,7,6,17,13,11,
255,392,343,220,327,576,625,718,705,897,956,797,516,479,525,406,300,188,138,94,105,82,93,98,233,379,353,202,61,44,59,95,109,89,89,127,145,177,187,199,
56,159,136,89,101,157,186,203,204,301,312,246,159,145,137,109,81,63,46,50,35,32,36,25,92,118,134,76,23,27,19,27,38,38,35,33,57,79,75,84,
45,47,50,28,25,34,33,26,38,38,49,47,50,62,80,117,97,74,65,47,50,28,42,54,55,55,61,57,42,19,25,13,17,7,7,2,3,2,1,0,
7,9,4,7,3,6,1,8,5,5,4,4,11,10,6,5,5,3,0,5,12,24,21,17,14,3,5,8,9,8,10,9,7,9,21,18,17,15,13,15,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,10,10,1,2,5,4,2,2,5,1,4,6,15,35,26,16,18,4,4,3,3,1,1,3,3,2,3,4,10,18,12,0,0,0,0,0,0,1,1,
27,33,33,37,26,16,14,25,25,33,24,23,29,29,47,88,61,35,37,27,26,14,23,17,10,13,11,12,19,11,11,14,18,11,7,7,15,18,31,30,
78,84,74,68,48,66,56,61,76,0,0,0,0,0,0,0,0,0,0,101,78,65,74,92,71,127,103,111,60,49,46,37,40,24,22,26,24,48,46,47,
122,192,182,96,105,206,204,209,243,0,0,0,0,0,0,0,0,0,0,66,65,30,39,49,107,134,139,74,17,19,25,45,53,32,43,52,69,78,77,82,
0,1,0,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,
21,23,10,7,9,8,14,12,17,11,19,13,15,14,21,30,21,17,24,23,16,13,11,19,18,19,31,21,11,10,6,8,10,1,0,3,5,2,0,1,
